Question,Answer
"I paid my fee, but my application status is still pending. What should I do?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or contact helpdesk."
Is there a delay in updating the application status after payment?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or contact helpdesk."
How can I get a refund for a duplicate payment?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or contact helpdesk."
What steps should I follow to claim a refund for my second payment?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
I accidentally paid my fee twice. How do I get one payment back?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I cancel my application and get a refund for the fee?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the process to cancel my application and receive a refund?,"No, the cancel application Fee is not refunded"
"If I cancel my application, will I get my fee back?","No, the cancel application Fee is not refunded"
"If payment is made twice, how to get one payment back?","No, the cancel application Fee is not refunded"
Can I cancel my application and get a refund of the fee?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How to get a refund if the service is unavailed or rejected by RTO?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why does SARATHI not refund the fee automatically to my bank account?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How does SARATHI handle fee refunds?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What is the SARATHI refund process?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I failed the Learner License Test?,"Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3 Click on ""Fee Payments""
4 Click on ""EPayment"" menu and Select Service"
How can I retake the Learner License Test?,"Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3 Click on ""Fee Payments""
4 Click on ""EPayment"" menu and Select Service"
What are the next steps after failing the Learner License Test?,"Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3 Click on ""Fee Payments""
4 Click on ""EPayment"" menu and Select Service"
How can I reprint my fee receipt?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""Print Receipt"" from ""EPayment"" menu"
What steps do I need to follow to get a copy of my fee receipt?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""Print Receipt"" from ""EPayment"" menu"
Is there a way to print my fee receipt again?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""Print Receipt"" from ""EPayment"" menu"
How to pay retest fees and how much do I have to pay?,"A new application needs to be placed for a retest.
Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4 Click on ""EPayment"" menu and Retest Fee"
What is the cost for retaking the driving skill test?,"A new application needs to be placed for a retest.
Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4 Click on ""EPayment"" menu and Retest Fee"
Can you explain the retest fee process?,"A new application needs to be placed for a retest.
Steps to Pay Retest Payment :-
1 Visit https://sarathi.parivahan.gov.in/
2 Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4 Click on ""EPayment"" menu and Retest Fee"
I booked the slot test without paying. Can I pay tomorrow before the event?,"Yes, you can pay before your slot test date."
Is it possible to pay for the slot test later?,"Yes, you can pay before your slot test date."
What if I forgot to pay for my slot test?,"Yes, you can pay before your slot test date."
Fees have been deducted twice. How to refund the extra amount paid?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I paid my fees twice?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I get a refund for the extra fee payment?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
I have failed the driving skill test 3 times; can I pay retest fees for another attempt and how long do I wait?,"Yes, you are able to deposit the fee but after the 60 days of last failure attempt."
After how many days can I apply for the retest after failing?,"Yes, you are able to deposit the fee but after the 60 days of last failure attempt."
What is the waiting period for retaking the driving skill test?,"Yes, you are able to deposit the fee but after the 60 days of last failure attempt."
How to clear the transaction that is pending for more than 3 days?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
What should I do if my transaction is stuck?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
How can I resolve a transaction that hasn't cleared?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
How to verify if the payment is a failure or success?,"Steps to Verify Pay Status:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments” from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
How can I check if my payment went through?,"Steps to Verify Pay Status:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments” from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
What do I do to confirm the success of my payment?,"Steps to Verify Pay Status:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments” from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
How can I obtain a Permanent Driving License?,"Steps to follow for New Driving License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""New Driving Licence"" from ""Driving Licence"" menu
4. Enter your ""Learning License Number"" & ""Date of Birth"" to proceed further
5. Fill up application Form
6.Click on Next Button to proceed
7. Visit RTO on scheduled date with original documents & Fee Slip"
What are the steps to get a Permanent Driving License?,"Steps to follow for New Driving License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""New Driving Licence"" from ""Driving Licence"" menu
4. Enter your ""Learning License Number"" & ""Date of Birth"" to proceed further
5. Fill up application Form
6.Click on Next Button to proceed
7. Visit RTO on scheduled date with original documents & Fee Slip"
What do I need to do to apply for a Permanent Driving License?,"Steps to follow for New Driving License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""New Driving Licence"" from ""Driving Licence"" menu
4. Enter your ""Learning License Number"" & ""Date of Birth"" to proceed further
5. Fill up application Form
6.Click on Next Button to proceed
7. Visit RTO on scheduled date with original documents & Fee Slip"
"I have withdrawn a class of vehicle, but the fees are still showing pending for this class.","You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or you may approach helpdesk."
Why is my fee still pending after withdrawing a vehicle class?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or you may approach helpdesk."
What should I do about the pending fee for a withdrawn class?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s) or you may approach helpdesk."
"While applying for a new Driver's License, the system says I have already generated an application. How can I check?","Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
How do I find my existing Driver's License application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
What should I do if I can't locate my Driver's License application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
My learner's License details are not found when I want to apply for a Driver License?,Verify your learner's number while entering if still find issue contact Zonal Office
Why can't I find my learner's License information for my application?,Verify your learner's number while entering if still find issue contact Zonal Office
How do I retrieve my learner's License details?,Verify your learner's number while entering if still find issue contact Zonal Office
What kind of vehicles are necessary for a driving test for the MCWG category of driving license?,Motor cycle with gear (e.g. Bike)
What vehicles do I need for my driving test for the MCWG license?,Motor cycle with gear (e.g. Bike)
Can you tell me the vehicle requirements for the MCWG driving test?,Motor cycle with gear (e.g. Bike)
Can I edit the Driving License application form after submission?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Is it possible to change my Driving License application details?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I need to edit my submitted Driving License application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I submitted wrong information in my application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I correct mistakes in my Driving License application?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
I made an error in my application; how can I fix it?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
"I have a Driving License issued in one state, but I need to apply for a license for another vehicle category in a different state with my current proof of address?",Permanent licence is issued from the same state your learner is issued.
Can I apply for a new license in a different state with my existing license?,Permanent licence is issued from the same state your learner is issued.
What are the requirements for applying for a Driving License in a different state?,Permanent licence is issued from the same state your learner is issued.
How can I check my application status?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
Where can I find the status of my Driving License application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
What is the process to verify the status of my application?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
I have lost my learner's License; can I apply for a permanent Driver's License without it?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I lost my learner's License while applying for a permanent license?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I still get a Permanent Driver's License if my learner's License is lost?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Can I apply for a different RTO in place of the learner's license issued from another state?,"Yes, you can apply, if your states is allowed for that otherwise Permanent licence is issued from the same RTO your learner license is issue"
What is the process to apply for a different RTO for my license?,"Yes, you can apply, if your states is allowed for that otherwise Permanent licence is issued from the same RTO your learner license is issue"
How can I change my RTO while applying for a Driver's License?,"Yes, you can apply, if your states is allowed for that otherwise Permanent licence is issued from the same RTO your learner license is issue"
I have multiple learning licenses; how do I apply for a permanent Driver's License?,You need to apply while your Learner's License is still valid.
What do I need to do to convert my multiple learner's licenses into a permanent license?,You need to apply while your Learner's License is still valid.
Can I apply for a permanent Driver's License if I have several learner's licenses?,You need to apply while your Learner's License is still valid.
How to apply for a Diplomat Driving License?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1) If you are a Diplomat: You can apply for Driving License directly.
2) If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
What are the requirements for obtaining a Diplomat Driving License?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1) If you are a Diplomat: You can apply for Driving License directly.
2) If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
Can you guide me on the process for a Diplomat Driving License application?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1) If you are a Diplomat: You can apply for Driving License directly.
2) If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
I am a foreigner; can I apply for a Driver's License based on my country's Driver's License?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1. If you are a Diplomat: You can apply for Driving License directly.
2. If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
What do I need to do to get a Driver's License as a foreigner?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1. If you are a Diplomat: You can apply for Driving License directly.
2. If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
Can I convert my foreign Driver's License into an Indian License?,"Yes, you can apply for Driving License in India.
Eligibility criteria :-
1. If you are a Diplomat: You can apply for Driving License directly.
2. If you are a Non-Diplomat: You have to apply for Learner's License, before proceeding for Driving License."
Is a medical certificate required for an applicant to apply for a New Driving License?,"Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years, in case of less than 40 you need to submit FORM 1."
Do I need a medical certificate for my Driving License application?,"Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years, in case of less than 40 you need to submit FORM 1."
What are the medical requirements for applying for a Driving License?,"Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years, in case of less than 40 you need to submit FORM 1."
After how many days of Learner's License issuance am I eligible to apply for a Driving License?,"Learner's Licence validity is for 6 months, and you can apply for New Driving Licence after 30 days."
What is the waiting period for applying for a permanent Driving License after getting a learner's license?,"Learner's Licence validity is for 6 months, and you can apply for New Driving Licence after 30 days."
How long do I have to wait after receiving my learner's license to apply for a permanent license?,"Learner's Licence validity is for 6 months, and you can apply for New Driving Licence after 30 days."
How do I apply for the CAMP?,"First you need to submit the application for new driving license & on behalf of generated application number you can submit the application for CAMP.
Steps to Learner's License for CAMP:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Camp Registration"" from ""Others"" menu
4.Click on Next Button to proceed
5. Visit CAMP on scheduled date with original documents & Fee Slip
Note: This Services is Applicable only in some states."
What are the steps to apply for CAMP?,"First you need to submit the application for new driving license & on behalf of generated application number you can submit the application for CAMP.
Steps to Learner's License for CAMP:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Camp Registration"" from ""Others"" menu
4.Click on Next Button to proceed
5. Visit CAMP on scheduled date with original documents & Fee Slip
Note: This Services is Applicable only in some states."
Can you guide me on applying for the CAMP?,"First you need to submit the application for new driving license & on behalf of generated application number you can submit the application for CAMP.
Steps to Learner's License for CAMP:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Camp Registration"" from ""Others"" menu
4.Click on Next Button to proceed
5. Visit CAMP on scheduled date with original documents & Fee Slip
Note: This Services is Applicable only in some states."
I have lost my application number; how can I search for it?,"Steps follow for Find Application and Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
What should I do if I can't find my application number?,"Steps follow for Find Application and Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
How do I retrieve my lost application number?,"Steps follow for Find Application and Find Application Number :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Find Application Number"" from ""Others"" menu"
Where do I get the pre-filled application forms?,"Steps follow to Print Application Form:-
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Click on ""Print Application Form"" from ""Download Forms"" menu"
How can I obtain pre-filled application forms for my driving license?,"Steps follow to Print Application Form:-
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Click on ""Print Application Form"" from ""Download Forms"" menu"
Are pre-filled application forms available online?,"Steps follow to Print Application Form:-
1. Visit https://sarathi.parivahan.gov.in/sarathiservice/stateSelection.do
2. Select concerned state
3. Click on ""Print Application Form"" from ""Download Forms"" menu"
Why should I print the form if the application has been filed online?,This is as per the state policy.
Do I need to print my application form after submitting it online?,This is as per the state policy.
Is printing necessary for my online application?,This is as per the state policy.
What type of test would be conducted at the RTO?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle)
Can you tell me about the driving test conducted at the RTO?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle)
What kind of tests should I expect at the RTO?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle)
I have got the certificate from the Driving Training School. Is my Learner's License test exempted?,"Yes, it is. (This will come under the state jurisdiction)"
Will my training certificate exempt me from the Learner's License test?,"Yes, it is. (This will come under the state jurisdiction)"
Do I still need to take the Learner's License test if I have a training certificate?,"Yes, it is. (This will come under the state jurisdiction)"
Should I bring my own vehicle for the driving skill test?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle) but vehicle may not be required.
Do I need to use my own vehicle for the driving test?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle) but vehicle may not be required.
Is it necessary to provide my own vehicle for the driving skill test?,To obtaining a driving license one needs to undergo a Motor Driving test (on vehicle) but vehicle may not be required.
Can I go on two different dates to take the driving test for different classes of vehicles?,"Yes, if you have booked appointment for two different dates, you may approach for it.
Note: This is as per state policy."
Is it possible to schedule driving tests on separate days for different vehicle categories?,"Yes, if you have booked appointment for two different dates, you may approach for it.
Note: This is as per state policy."
Can I book my driving tests for different vehicle classes on different dates?,"Yes, if you have booked appointment for two different dates, you may approach for it.
Note: This is as per state policy."
Can the Driving License be dispatched to the applicant’s address?,This is as per the state policy.
Will my Driving License be sent to my home address?,This is as per the state policy.
How is the Driving License dispatched to me?,This is as per the state policy.
"Status of my application is shown as 'Driver's License approved,' but I haven't received the license yet. What should I do?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why is my Driving License approved but still not received?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What does it mean if my application status says 'Driver's License approved'?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How do I know the dispatch status of my Driving License to my current address?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
Where can I check the dispatch status of my Driving License?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
How can I track the dispatch of my Driving License?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from menu"
What is the validity of the Driving License?,"Private Driving license is valid for 20 years from the date of issue or till the holder attains 40 years of age, which comes earlier.
After the age of 40 the Driving licence will be issued for 10 years & then 5 years subsequently.
Validity for Non Transport Vehicles
(a) If the age of the applicant on the date of issue or renewal is less than 30 years, then the Non Transport Validity would be till the attainment of 40 years"
How long is a Driving License valid?,"Private Driving license is valid for 20 years from the date of issue or till the holder attains 40 years of age, which comes earlier.
After the age of 40 the Driving licence will be issued for 10 years & then 5 years subsequently.
Validity for Non Transport Vehicles
(a) If the age of the applicant on the date of issue or renewal is less than 30 years, then the Non Transport Validity would be till the attainment of 40 years"
What is the expiration period for a Driving License?,"Private Driving license is valid for 20 years from the date of issue or till the holder attains 40 years of age, which comes earlier.
After the age of 40 the Driving licence will be issued for 10 years & then 5 years subsequently.
Validity for Non Transport Vehicles
(a) If the age of the applicant on the date of issue or renewal is less than 30 years, then the Non Transport Validity would be till the attainment of 40 years"
What is the validity of endorsement to drive vehicles carrying hazardous goods?,Commercial Driving license is valid for 5 years from the date of issue. Hazardous Validities have been changed from 1 year to 3 years
How long is the endorsement for hazardous goods valid?,Commercial Driving license is valid for 5 years from the date of issue. Hazardous Validities have been changed from 1 year to 3 years
What is the expiration period for hazardous goods vehicle endorsement?,Commercial Driving license is valid for 5 years from the date of issue. Hazardous Validities have been changed from 1 year to 3 years
"I have passed in both categories, but my driving license received only for a single category. What should I do?","You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why did I only receive a single category Driving License despite passing both tests?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I obtain my Driving License for the second category?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How do Foreign Driver's License holders or defense personnel obtain a Driver's License?,"Applicants can visit https://sarathi.parivahan.gov.in/
1. Driving Licence
2. New Driving Licence. Where these options are available to apply Driver's License"
What is the process for foreigners to apply for a Driver's License?,"Applicants can visit https://sarathi.parivahan.gov.in/
1. Driving Licence
2. New Driving Licence. Where these options are available to apply Driver's License"
How can defense personnel get a Driving License in India?,"Applicants can visit https://sarathi.parivahan.gov.in/
1. Driving Licence
2. New Driving Licence. Where these options are available to apply Driver's License"
What are e-signed documents?,e-signed document are generated after application is submitted (Form 2)
How do e-signed documents work?,e-signed document are generated after application is submitted (Form 2)
What is the purpose of e-signed documents?,e-signed document are generated after application is submitted (Form 2)
Is Form 1A mandatory for the Learner License test?,"No,
Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years."
Do I need Form 1A for my Learner License?,"No,
Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years."
Is it necessary to submit Form 1A for the Learner License?,"No,
Medical Certificate (FORM 1A) is required for applicants having age equal to or above 40 years."
Is Form 1 mandatory for the Learner License test?,"Yes, Form 1 is self declaration medical"
Do I need to submit Form 1 for my Learner License?,"Yes, Form 1 is self declaration medical"
Is Form 1 required for the Learner License application?,"Yes, Form 1 is self declaration medical"
How do I upload the documents for the learner's license?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
What is the process to upload documents for my Learner License?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
Can you guide me on uploading documents for the Learner License?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
I want to replace one document with another that I already uploaded?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
How can I change an uploaded document?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
Can I swap an uploaded document for my Learner License application?,"Steps to Upload/Re-upload scanned document in License :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Upload Document""
4. Select ""Upload Document/Scanned or ""View Document""
Note :
This Services is available as per states customization."
I'm having an error while uploading the documents?,Read the error message carefully & check document name and size while uploading.
What should I do if I encounter an error when uploading documents?,Read the error message carefully & check document name and size while uploading.
How can I fix the upload error for my documents?,Read the error message carefully & check document name and size while uploading.
I have multiple pages of documents; how can I upload them in a single file?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
Can I upload a multi-page document as one file?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
How do I combine multiple pages for document upload?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
The limit is exceeded for the specified document because it has multiple pages?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
What does it mean if my document upload limit is exceeded?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
How can I resolve the limit issue for my uploaded document?,Document need to be single jpeg copy or PDF file in the given size only. You may use online option to compress them.
"I have uploaded all the documents, but my application status still asks for more uploads?","Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
Why is my application still requesting document uploads?,"Steps to check License status:
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Select ""Application Status"" from ""Apply Online"" menu"
